"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"093","06-0093","AV. ALMIRANTE BARROSO, 601 - FORUM ELEITORAL","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"094","06-0094","AV. ALMIRANTE BARROSO, 601 - FORUM ELEITORAL","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"095","06-0095","AV. ALMIRANTE BARROSO, 601 - FÓRUM ELEITORAL","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"096","06-0096","R. SANTA CRUZ, S/N","62570000","CENTRO-SEDE","BELA CRUZ","CE"
"097","06-0097","RUA FORTUNATO BARROSO, S/N","62690000","CENTRO","TRAIRI","CE"
"098","06-0098","AVENIDA RIOS, 410","62590000","CENTRO","ITAREMA","CE"
"099","06-0099","AV. FRANCISCO RUFINO VIEIRA, S/N","63740000","CENTRO","NOVO ORIENTE","CE"
"101","06-0101","RUA JOSE DE MORAIS FEITOSA, S/N","63575000","CAICARA","AIUABA","CE"
"104","06-0104","RUA EDSON QUEIROZ, S/N","61905155","PIRATININGA","MARACANAÚ","CE"
"105","06-0105","RUA JOSE SARAIVA SOBRINHO, S/N","62748000","CENTRO","CAPISTRANO","CE"
"108","06-0108","RUA MAJOR FIEL, 299","62420000","CENTRO","CHAVAL","CE"
"109","06-0109","RUA SÃO JOÃO EVANGELISTA, 525","62680000","CAMPO DE AVIAÇÃO","PARACURU","CE"
"111","06-0111","AV. CORONEL FRANCISCO LINHARES, S/N","62730000","CENTRO","CARIDADE","CE"
"112","06-0112","AV ALMIRANTE BARROSO 601 - FORUM ELEITORAL","60040040","PRAIA DE IRACEMA","FORTALEZA","CE"
"113","06-0113","AV. ALMIRANTE BARROSO, 601 - FORUM ELEITORAL PÉRICLES RIBEIRO","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"114","06-0114","AV ALMIRANTE BARROSO 601 - FORUM ELEITORAL","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"115","06-0115","AV ALMIRANTE BARROSO 601 - FORUM ELEITORAL","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"116","06-0116","AV ALMIRANTE BARROSO 601 - FORUM ELEITORAL","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"117","06-0117","AV ALMIRANTE BARROSO 601 - FORUM ELEITORAL","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"118","06-0118","AV. ALMIRANTE BARROSO 601 - FORUM ELEITORAL","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"119","06-0119","RUA INTERVENTOR ERIVANO CRUZ 75","63010015","CENTRO","JUAZEIRO DO NORTE","CE"
"120","06-0120","RUA JOSÉ ROCHA, N. 483","61600070","CENTRO","CAUCAIA","CE"
"121","06-0121","AV. DR. GUARANY, 230","62042030","DERBY CLUB","SOBRAL","CE"
"122","06-0122","AV. EDSON QUEIROZ - S/N","61905155","CENTRO","MARACANAÚ","CE"
"123","06-0123","RUA JOSÉ ROCHA, 521","61600070","CENTRO","CAUCAIA","CE"
